Date,Open,High,Low,Close,Adj Close,Volume
2012-10-18,52.919998,53.480000,52.599998,52.950001,42.581734,697500
2012-10-19,52.759998,53.070000,52.430000,52.709999,42.388718,368800
2012-10-22,52.799999,53.290001,52.349998,53.099998,42.702354,413100
2012-10-23,52.290001,52.880001,51.779999,52.549999,42.260044,448300
2012-10-24,53.029999,53.029999,52.000000,52.110001,41.906200,526200
2012-10-25,53.180000,54.849998,52.810001,54.770000,44.045338,862200
2012-10-26,54.919998,55.500000,54.369999,54.930000,44.174015,487700
2012-10-31,54.860001,54.860001,53.860001,54.340000,43.699543,420200
2012-11-01,55.070000,58.240002,54.240002,58.240002,46.835876,861900
2012-11-02,58.560001,58.680000,55.529999,55.720001,44.809319,1155800
2012-11-05,55.700001,56.590000,55.459999,56.230000,45.219452,574500
2012-11-06,56.700001,57.750000,56.220001,57.189999,45.991467,688100
2012-11-07,54.240002,56.509998,54.240002,55.459999,44.600239,925000
2012-11-08,55.209999,55.430000,54.540001,54.770000,44.045338,544500
2012-11-09,54.580002,56.400002,54.250000,55.509998,44.640442,768100
2012-11-12,56.279999,56.290001,55.180000,55.520000,44.648483,385400
2012-11-13,54.650002,55.889999,54.650002,55.380001,44.535892,517500
2012-11-14,55.650002,55.770000,54.290001,54.500000,43.828213,512400
2012-11-15,54.369999,54.990002,53.680000,53.709999,43.192905,597000
2012-11-16,53.900002,54.470001,53.090000,54.029999,43.450233,683300
2012-11-19,54.970001,55.959999,54.970001,55.810001,44.881710,601100
2012-11-20,55.570000,56.330002,55.470001,56.020000,45.050591,795300
2012-11-21,56.049999,56.529999,55.860001,56.189999,45.187294,366800
2012-11-23,56.500000,57.049999,56.360001,56.930000,45.782391,222200
2012-11-26,56.910000,57.209999,56.070000,56.529999,45.460716,359500
2012-11-27,56.250000,56.820000,55.889999,55.950001,45.194149,482100
2012-11-28,55.529999,56.459999,55.090000,56.400002,45.557655,296900
2012-11-29,57.070000,57.459999,56.180000,56.580002,45.703041,380500
2012-11-30,56.639999,56.790001,55.959999,56.400002,45.557655,597500
2012-12-03,57.110001,57.110001,56.080002,56.330002,45.501099,645000
2012-12-04,56.090000,57.080002,55.740002,56.169998,45.371849,401000
2012-12-05,56.450001,56.840000,55.840000,56.430000,45.581875,508300
2012-12-06,56.459999,56.810001,56.270000,56.810001,45.888828,458400
2012-12-07,57.000000,57.169998,56.430000,57.029999,46.066536,224800
2012-12-10,56.910000,57.320000,56.590000,57.189999,46.195770,452400
2012-12-11,57.270000,58.299999,56.430000,58.259998,47.060085,589300
2012-12-12,58.380001,58.990002,57.689999,57.970001,46.825821,512100
2012-12-13,57.980000,58.490002,57.759998,57.939999,46.801594,321600
2012-12-14,58.820000,59.750000,57.950001,59.250000,47.859764,592000
2012-12-17,59.310001,59.970001,59.160000,59.939999,48.417110,437400
2012-12-18,59.939999,61.639999,59.810001,60.980000,49.257195,833600
2012-12-19,60.799999,61.740002,60.689999,60.770000,49.087555,662400
2012-12-20,60.790001,62.000000,60.560001,62.000000,50.081108,661200
2012-12-21,60.500000,61.820000,60.500000,61.730000,49.863003,715300
2012-12-24,61.540001,61.660000,61.310001,61.540001,49.709534,165200
2012-12-26,61.830002,62.450001,61.490002,61.540001,49.709534,335200
2012-12-27,61.790001,62.080002,60.590000,61.240002,49.467197,406900
2012-12-28,60.869999,61.119999,60.259998,60.360001,48.756367,352500
2012-12-31,60.110001,62.279999,60.110001,62.099998,50.161880,382600
2013-01-02,63.730000,64.699997,63.570000,64.570000,52.157036,524900
2013-01-03,64.360001,64.629997,63.310001,63.369999,51.187729,666200
2013-01-04,63.529999,64.599998,63.400002,64.580002,52.165119,330800
2013-01-07,64.220001,64.879997,64.010002,64.599998,52.181271,321400
2013-01-08,64.510002,64.690002,63.529999,63.669998,51.430061,429800
2013-01-09,64.250000,65.480003,63.980000,65.330002,52.770943,749800
2013-01-10,65.419998,65.699997,63.939999,64.699997,52.262051,704200
2013-01-11,64.570000,64.639999,63.709999,64.160004,51.825859,417600
2013-01-14,63.480000,64.160004,63.349998,63.580002,51.357368,423600
2013-01-15,63.180000,64.010002,63.099998,63.799999,51.535065,451400
2013-01-16,63.250000,63.250000,62.160000,62.470001,50.460739,771900
2013-01-17,63.009998,63.630001,62.820000,63.459999,51.260437,598000
2013-01-18,63.549999,63.570000,62.779999,63.230000,51.074654,458700
2013-01-22,63.299999,64.720001,62.549999,64.190002,51.850090,638900
2013-01-23,64.160004,64.180000,63.349998,63.560001,51.341209,505600
2013-01-24,63.720001,64.129997,62.869999,63.509998,51.300823,469900
2013-01-25,63.889999,64.209999,63.049999,64.209999,51.866238,353200
2013-01-28,64.120003,64.260002,63.500000,64.000000,51.696609,330200
2013-01-29,64.180000,65.199997,64.050003,64.680000,52.245895,407000
2013-01-30,64.629997,65.000000,63.849998,64.139999,51.809689,394400
2013-01-31,64.080002,65.029999,64.019997,64.720001,52.278210,453900
2013-02-01,65.389999,65.949997,64.839996,65.650002,53.029419,461300
2013-02-04,64.839996,65.150002,64.080002,64.309998,51.947021,371300
2013-02-05,64.430000,64.900002,64.099998,64.690002,52.253986,439100
2013-02-06,68.000000,71.379997,68.000000,70.250000,56.745117,2540500
2013-02-07,70.070000,70.559998,69.180000,70.059998,56.591629,740300
2013-02-08,70.180000,71.570000,70.180000,71.440002,57.706352,555700
2013-02-11,71.260002,71.779999,70.809998,71.000000,57.350937,354400
2013-02-12,71.000000,71.199997,70.470001,70.769997,57.165134,469700
2013-02-13,70.949997,71.629997,70.379997,71.010002,57.359020,421000
2013-02-14,70.750000,72.080002,70.459999,72.000000,58.158695,404100
2013-02-15,71.709999,72.360001,71.709999,72.050003,58.199093,465200
2013-02-19,72.199997,72.900002,71.459999,71.760002,57.964832,580000
2013-02-20,71.400002,71.459999,68.040001,68.129997,55.032658,973600
2013-02-21,68.000000,69.699997,67.290001,67.940002,54.879211,1103800
2013-02-22,68.290001,68.580002,67.430000,68.199997,55.089214,458400
2013-02-25,68.360001,68.570000,65.089996,65.099998,52.585167,1159500
2013-02-26,65.419998,65.820000,64.660004,65.730003,53.094040,840200
2013-02-27,65.570000,67.540001,65.570000,66.879997,54.022972,1000800
2013-02-28,66.830002,67.459999,66.580002,66.589996,53.788708,650400
2013-03-01,65.550003,66.279999,64.879997,65.870003,53.207138,774400
2013-03-04,65.589996,65.959999,64.809998,65.610001,52.997112,552700
2013-03-05,66.940002,68.879997,65.959999,66.040001,53.344448,607000
2013-03-06,67.349998,67.349998,65.120003,66.650002,54.082867,745100
2013-03-07,66.720001,67.610001,66.220001,66.620003,54.058517,540300
2013-03-08,66.760002,67.680000,66.760002,67.260002,54.577850,596300
2013-03-11,67.089996,67.750000,66.500000,67.389999,54.683334,390800
2013-03-12,67.330002,67.790001,66.589996,67.239998,54.561630,692500
2013-03-13,67.160004,67.860001,66.070000,67.529999,54.796936,763600
2013-03-14,68.029999,69.040001,67.470001,68.940002,55.941078,742100
2013-03-15,68.889999,69.820000,68.739998,69.239998,56.184498,711700
2013-03-18,68.089996,69.290001,68.089996,69.000000,55.989750,390500
2013-03-19,69.040001,69.250000,67.720001,69.120003,56.087132,495900
2013-03-20,69.510002,70.279999,69.070000,69.980003,56.784969,428800
2013-03-21,69.709999,70.510002,69.080002,69.150002,56.111485,541500
2013-03-22,69.339996,69.769997,68.910004,69.389999,56.306244,218300
2013-03-25,69.589996,70.839996,69.080002,69.919998,56.736290,507300
2013-03-26,70.129997,71.110001,70.099998,70.910004,57.539631,576800
2013-03-27,70.089996,71.199997,69.529999,71.089996,57.685680,429300
2013-03-28,70.940002,71.300003,70.250000,71.169998,57.750607,375600
2013-04-01,71.160004,71.160004,69.059998,69.199997,56.152058,393500
2013-04-02,69.910004,69.980003,67.169998,67.669998,54.910542,531000
2013-04-03,67.699997,67.699997,65.300003,66.330002,53.823200,783500
2013-04-04,66.500000,67.660004,65.830002,66.459999,53.928696,597800
2013-04-05,65.430000,67.959999,64.910004,67.709999,54.942989,650300
2013-04-08,67.879997,68.150002,67.440002,68.150002,55.300030,398400
2013-04-09,68.480003,70.010002,68.040001,69.480003,56.379265,486000
2013-04-10,69.870003,69.870003,68.769997,69.559998,56.444168,346700
2013-04-11,69.419998,69.870003,68.099998,68.279999,55.405521,395500
2013-04-12,68.050003,68.629997,66.459999,67.190002,54.521046,475900
2013-04-15,66.169998,66.269997,64.239998,64.650002,52.459965,541700
2013-04-16,65.820000,66.980003,65.379997,66.809998,54.212696,974700
2013-04-17,65.919998,65.919998,64.760002,65.459999,53.117241,787000
2013-04-18,65.730003,66.559998,64.410004,65.309998,52.995529,575600
2013-04-19,65.809998,65.970001,64.750000,65.690002,53.303871,419300
2013-04-22,65.830002,65.830002,64.220001,65.440002,53.101013,563000
2013-04-23,65.830002,66.510002,65.019997,66.010002,53.563538,543000
2013-04-24,66.279999,67.510002,65.949997,67.040001,54.399323,651400
2013-04-25,65.430000,68.870003,59.439999,64.489998,52.330151,2052600
2013-04-26,64.019997,64.309998,62.919998,64.050003,51.973118,1201000
2013-04-29,64.239998,64.589996,63.490002,64.150002,52.054245,506800
2013-04-30,63.500000,65.089996,63.060001,65.070000,52.800781,675200
2013-05-01,64.449997,64.459999,63.189999,63.310001,51.372635,443700
2013-05-02,63.410000,64.440002,62.520000,64.250000,52.135387,461900
2013-05-03,65.180000,67.199997,65.180000,66.400002,53.880009,681800
2013-05-06,66.449997,66.570000,65.300003,66.010002,53.563538,365900
2013-05-07,66.019997,66.830002,65.910004,66.800003,54.204594,330500
2013-05-08,66.599998,68.669998,66.309998,68.269997,55.397404,551100
2013-05-09,67.889999,68.540001,67.180000,67.660004,54.902428,240800
2013-05-10,67.739998,68.879997,66.989998,68.680000,55.730103,463100
2013-05-13,68.330002,68.580002,67.860001,67.910004,55.105293,289200
2013-05-14,67.790001,68.669998,67.449997,68.089996,55.251339,416100
2013-05-15,67.589996,67.930000,66.919998,67.629997,54.878086,516700
2013-05-16,67.449997,68.870003,67.099998,67.290001,54.602188,426300
2013-05-17,67.610001,68.610001,67.610001,68.419998,55.519135,394500
2013-05-20,68.309998,69.320000,68.120003,68.830002,55.851814,396900
2013-05-21,69.129997,70.150002,68.360001,69.089996,56.062790,444800
2013-05-22,69.190002,69.809998,67.220001,67.769997,54.991684,509700
2013-05-23,66.510002,67.300003,66.000000,67.160004,54.496708,413300
2013-05-24,66.529999,67.099998,66.349998,66.800003,54.204594,176500
2013-05-28,67.820000,68.750000,67.320000,67.480003,54.756351,377700
2013-05-29,66.820000,67.029999,65.879997,66.639999,54.316227,320300
2013-05-30,66.779999,67.400002,66.489998,67.080002,54.674873,586900
2013-05-31,67.180000,67.459999,65.750000,65.769997,53.607121,493100
2013-06-03,66.070000,66.239998,64.550003,65.949997,53.753830,533900
2013-06-04,65.769997,66.230003,64.449997,65.339996,53.256630,295200
2013-06-05,64.959999,65.000000,63.509998,63.779999,51.985123,364900
2013-06-06,63.680000,64.790001,63.490002,64.779999,52.800194,366900
2013-06-07,64.830002,65.830002,63.869999,65.169998,53.118073,533300
2013-06-10,65.139999,65.809998,64.599998,65.489998,53.378899,329300
2013-06-11,64.279999,64.959999,63.919998,64.629997,52.677933,417700
2013-06-12,64.849998,65.370003,63.560001,63.939999,52.115540,275400
2013-06-13,63.970001,65.660004,63.930000,65.379997,53.289249,370100
2013-06-14,64.910004,66.040001,64.589996,64.989998,52.971363,209000
2013-06-17,65.580002,65.930000,64.919998,65.500000,53.387054,391000
2013-06-18,65.339996,66.620003,65.339996,66.370003,54.096157,403500
2013-06-19,66.599998,66.870003,65.809998,66.180000,53.941303,361500
2013-06-20,65.029999,65.989998,64.169998,64.989998,52.971363,554700
2013-06-21,65.370003,65.459999,64.430000,64.589996,52.645329,727700
2013-06-24,63.610001,63.759998,61.930000,62.250000,50.738075,538500
2013-06-25,63.080002,64.080002,62.200001,63.740002,51.952526,460100
2013-06-26,64.279999,64.730003,63.689999,64.370003,52.466026,337000
2013-06-27,65.010002,66.269997,64.940002,65.660004,53.517471,491600
2013-06-28,65.400002,65.779999,64.669998,65.559998,53.435955,976900
2013-07-01,65.940002,67.139999,65.940002,66.309998,54.047256,398500
2013-07-02,66.160004,66.980003,65.330002,66.430000,54.145065,312700
2013-07-03,65.660004,66.269997,65.529999,66.000000,53.794601,307700
2013-07-05,66.709999,66.760002,65.400002,66.129997,53.900543,196800
2013-07-08,66.940002,66.940002,65.980003,66.120003,53.892391,358200
2013-07-09,66.839996,67.400002,66.250000,67.139999,54.723759,518000
2013-07-10,67.150002,67.230003,65.809998,66.230003,53.982067,738400
2013-07-11,67.339996,67.809998,66.860001,67.300003,54.854183,741000
2013-07-12,67.400002,67.750000,66.279999,66.889999,54.519997,425400
2013-07-15,67.000000,68.440002,66.620003,68.309998,55.677391,654900
2013-07-16,68.669998,68.860001,67.129997,67.849998,55.302471,461300
2013-07-17,68.019997,68.879997,67.809998,68.720001,56.011574,531900
2013-07-18,68.820000,69.519997,68.820000,69.059998,56.288692,343500
2013-07-19,69.000000,69.230003,68.400002,68.949997,56.199028,560000
2013-07-22,69.129997,69.769997,68.980003,69.400002,56.565819,522900
2013-07-23,69.559998,70.010002,68.699997,69.580002,56.712524,575100
2013-07-24,69.589996,69.589996,68.320000,68.790001,56.068630,607200
2013-07-25,68.440002,70.320000,68.110001,70.080002,57.120079,824000
2013-07-26,69.690002,70.129997,68.720001,69.800003,56.891846,444300
2013-07-29,69.650002,69.709999,68.849998,69.349998,56.525066,329000
2013-07-30,69.720001,70.110001,68.730003,69.860001,56.940739,415600
2013-07-31,69.910004,71.750000,69.910004,70.199997,57.217865,581900
2013-08-01,70.959999,71.750000,70.709999,70.739998,57.658009,786400
2013-08-02,70.559998,71.230003,69.870003,71.029999,57.894409,358300
2013-08-05,70.800003,70.970001,70.279999,70.779999,57.690639,228900
2013-08-06,70.610001,70.610001,69.379997,69.779999,56.875553,374900
2013-08-07,69.449997,69.449997,68.040001,68.330002,55.693684,478300
2013-08-08,69.029999,69.660004,68.849998,69.150002,56.362057,652200
2013-08-09,69.260002,70.610001,69.260002,70.150002,57.177132,632200
2013-08-12,69.900002,71.599998,69.610001,71.360001,58.163345,495100
2013-08-13,71.540001,71.540001,70.050003,71.010002,57.878098,421200
2013-08-14,70.620003,71.750000,70.250000,70.669998,57.869911,295000
2013-08-15,69.559998,70.139999,68.970001,69.389999,56.821735,198500
2013-08-16,69.400002,70.120003,68.820000,69.900002,57.239361,339500
